#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#
#deck:Japanese Grammar (Strict)::03 - N3 Grammar::Contrast

先生に対して、意見を述べた。	に関して	について	に対して	に対して = toward/against (facing)	Expressed opinion toward teacher	[sound:2e10936eb1b1.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:top10k complexity:standard source:shin-kanzen
国家に対して、反抗する。	に関して	について	に対して	に対して = in opposition to	Rebel against nation	[sound:afa46d0d20b3.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:top10k complexity:intro source:shin-kanzen
その問題に関して、議論がある。	に対して	について	に関して	に関して = concerning/regarding (relation)	There's debate concerning that issue	[sound:d5e3992f799b.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:top10k complexity:standard source:shin-kanzen
この法律に関して、複数の見解がある。	に対して	について	に関して	に関して = with respect to	Multiple views on this law	[sound:05b550e48031.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:low complexity:standard source:shin-kanzen
その件について、どう思いますか。	に対して	に関して	について	について = on the subject of (topic)	What do you think about that matter?	[sound:b8a9bfeed5b6.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:top10k complexity:standard source:shin-kanzen
その理由について、詳しく説明してください。	に対して	に関して	について	について = regarding/about	Explain that reason in detail	[sound:6cfc4c00b5a8.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:top5k complexity:standard source:shin-kanzen
新政策に対して、強い反発がある。	に関して	について	に対して	に対して = against/toward (opposition)	Strong resistance against new policy	[sound:2a35562d653f.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:low complexity:standard source:shin-kanzen
人口減少に関して、様々な対策がある。	に対して	について	に関して	に関して = about/concerning	Various measures about population decline	[sound:0d60c586dc87.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:low complexity:standard source:shin-kanzen
今年の業績について、報告があります。	に対して	に関して	について	について = about (performance)	There's a report about this year's results	[sound:893ef9693e0f.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:low complexity:standard source:shin-kanzen
その判断に対して、異議がある。	に関して	について	に対して	に対して = against (objection)	There's an objection to that judgment	[sound:6f2450ee2a2b.mp3]	module:03-n3 jlpt:n3 register:literary point:に対して pos:expr frequency:low complexity:standard source:shin-kanzen
